customer_id,signup_date,plan,marketing_channel,country,churn_date
1,2022-01-01,Basic,LinkedIn,Australia,2023-04-22
2,2022-01-01,Basic,SEO,France,2022-11-26
3,2022-01-01,Pro,Google Ads,UK,2022-02-26
4,2022-01-01,Basic,Google Ads,USA,2022-02-26
5,2022-01-01,Pro,SEO,UK,2022-01-22
6,2022-01-01,Basic,SEO,France,2023-12-30
7,2022-01-01,Basic,SEO,Brazil,2022-11-26
8,2022-01-01,Basic,Facebook Ads,Germany,2023-03-25
9,2022-01-01,Basic,Facebook Ads,Australia,2022-01-08
10,2022-01-01,Basic,Facebook Ads,Japan,
11,2022-01-01,Basic,Facebook Ads,Germany,2023-10-07
12,2022-01-01,Pro,SEO,France,2022-03-26
13,2022-01-01,Basic,LinkedIn,Brazil,2022-03-12
14,2022-01-01,Pro,Google Ads,USA,2022-03-12
15,2022-01-01,Basic,Google Ads,France,2022-05-07
16,2022-01-01,Basic,LinkedIn,Australia,2022-09-24
17,2022-01-01,Basic,SEO,Japan,2022-07-23
18,2022-01-01,Pro,Facebook Ads,Brazil,2022-04-30
19,2022-01-01,Pro,LinkedIn,Canada,2022-12-10
20,2022-01-01,Enterprise,Facebook Ads,India,2022-02-19
21,2022-01-01,Enterprise,Facebook Ads,Other,2022-04-30
22,2022-01-01,Basic,Facebook Ads,Germany,2022-06-11
23,2022-01-01,Pro,LinkedIn,France,2022-08-06
24,2022-01-01,Basic,SEO,India,2023-07-08
25,2022-01-01,Pro,SEO,Canada,2022-03-19
26,2022-01-01,Basic,Google Ads,Australia,2022-09-17
27,2022-01-01,Basic,Facebook Ads,Other,2022-11-19
28,2022-01-01,Basic,Facebook Ads,UK,2022-01-15
29,2022-01-01,Basic,Google Ads,Brazil,2022-12-03
30,2022-01-01,Basic,Facebook Ads,Germany,2022-03-05
31,2022-01-01,Basic,Facebook Ads,Australia,2022-01-22
32,2022-01-01,Basic,Facebook Ads,USA,2024-12-14
33,2022-01-01,Pro,SEO,Other,
34,2022-01-01,Basic,LinkedIn,Brazil,2023-08-19
35,2022-01-01,Basic,SEO,Other,2022-05-07
36,2022-01-01,Basic,LinkedIn,Australia,2022-02-05
37,2022-01-01,Basic,SEO,Canada,2023-02-18
38,2022-01-01,Basic,Google Ads,Australia,2022-07-30
39,2022-01-01,Basic,Facebook Ads,USA,2022-02-12
40,2022-01-01,Pro,Google Ads,USA,2022-09-03
41,2022-01-01,Basic,SEO,UK,2022-01-08
42,2022-01-01,Enterprise,SEO,France,2024-05-18
43,2022-01-01,Basic,LinkedIn,USA,2022-04-16
44,2022-01-01,Basic,SEO,UK,2023-01-28
45,2022-01-01,Basic,Facebook Ads,Brazil,2022-05-14
46,2022-01-01,Pro,Google Ads,Other,2022-09-24
47,2022-01-01,Basic,Facebook Ads,Australia,2022-10-15
48,2022-01-08,Pro,LinkedIn,Japan,2024-07-20
49,2022-01-08,Basic,Google Ads,Japan,2022-02-05
50,2022-01-08,Basic,SEO,USA,2022-03-26
51,2022-01-08,Basic,Google Ads,Germany,2022-01-22
52,2022-01-08,Basic,Google Ads,UK,2022-05-28
53,2022-01-08,Basic,Facebook Ads,UK,2022-07-02
54,2022-01-08,Basic,SEO,Australia,2022-04-30
55,2022-01-08,Basic,Facebook Ads,France,2023-10-07
56,2022-01-08,Basic,LinkedIn,USA,2022-06-11
57,2022-01-08,Basic,Facebook Ads,Brazil,2022-05-07
58,2022-01-08,Basic,SEO,USA,2022-10-15
59,2022-01-08,Basic,SEO,Brazil,2022-02-26
60,2022-01-08,Pro,SEO,UK,2023-08-19
61,2022-01-08,Pro,Google Ads,Canada,2022-02-05
62,2022-01-08,Pro,Google Ads,France,2025-12-27
63,2022-01-08,Basic,Google Ads,Japan,2023-06-24
64,2022-01-08,Enterprise,Facebook Ads,Other,2022-03-26
65,2022-01-08,Basic,LinkedIn,France,2022-01-08
66,2022-01-08,Basic,LinkedIn,Germany,2023-09-09
67,2022-01-08,Pro,Google Ads,Japan,2023-03-25
68,2022-01-08,Basic,SEO,Japan,2023-04-22
