event_id,customer_id,event_date,event_type,old_plan,new_plan,mrr_change
1,1,2022-01-01,trial_start,,Basic,0
2,1,2022-01-15,trial_conversion,Trial,Basic,29
3,1,2023-04-12,cancellation_request,Basic,Basic,0
4,1,2023-04-22,cancellation_processed,Basic,,-29
5,2,2022-01-01,trial_start,,Basic,0
6,2,2022-01-15,trial_conversion,Trial,Basic,29
7,2,2022-09-24,upgrade,Basic,Pro,70
8,2,2022-11-21,upgrade,Pro,Enterprise,200
9,2,2022-11-22,cancellation_request,Enterprise,Enterprise,0
10,2,2022-11-26,cancellation_processed,Enterprise,,-299
11,3,2022-01-01,trial_start,,Pro,0
12,3,2022-01-15,trial_conversion,Trial,Pro,99
13,3,2022-02-21,cancellation_request,Pro,Pro,0
14,3,2022-02-26,cancellation_processed,Pro,,-99
15,4,2022-01-01,trial_start,,Basic,0
16,4,2022-01-15,trial_conversion,Trial,Basic,29
17,4,2022-02-12,cancellation_request,Basic,Basic,0
18,4,2022-02-26,cancellation_processed,Basic,,-29
19,5,2022-01-01,trial_start,,Pro,0
20,5,2022-01-15,trial_conversion,Trial,Pro,99
21,5,2022-01-18,cancellation_request,Pro,Pro,0
22,5,2022-01-22,cancellation_processed,Pro,,-99
23,6,2022-01-01,trial_start,,Basic,0
24,6,2022-01-15,trial_conversion,Trial,Basic,29
25,6,2022-10-29,upgrade,Basic,Pro,70
26,6,2023-12-22,cancellation_request,Pro,Pro,0
27,6,2023-12-30,cancellation_processed,Pro,,-99
28,7,2022-01-01,trial_start,,Basic,0
29,7,2022-01-15,trial_conversion,Trial,Basic,29
30,7,2022-11-14,cancellation_request,Basic,Basic,0
31,7,2022-11-26,cancellation_processed,Basic,,-29
32,8,2022-01-01,trial_start,,Basic,0
33,8,2022-01-15,trial_conversion,Trial,Basic,29
34,8,2023-03-24,cancellation_request,Basic,Basic,0
35,8,2023-03-25,cancellation_processed,Basic,,-29
36,9,2022-01-01,trial_start,,Basic,0
37,9,2022-01-08,cancellation_processed,Basic,,0
38,10,2022-01-01,trial_start,,Basic,0
39,10,2022-01-15,trial_conversion,Trial,Basic,29
40,11,2022-01-01,trial_start,,Basic,0
41,11,2022-01-15,trial_conversion,Trial,Basic,29
42,11,2022-08-21,upgrade,Basic,Pro,70
43,11,2022-10-19,downgrade,Pro,Basic,-70
44,11,2023-09-27,cancellation_request,Basic,Basic,0
45,11,2023-10-07,cancellation_processed,Basic,,-29
46,12,2022-01-01,trial_start,,Pro,0
47,12,2022-01-15,trial_conversion,Trial,Pro,99
48,12,2022-03-22,cancellation_request,Pro,Pro,0
49,12,2022-03-26,cancellation_processed,Pro,,-99
50,13,2022-01-01,trial_start,,Basic,0
51,13,2022-01-15,trial_conversion,Trial,Basic,29
52,13,2022-03-05,cancellation_request,Basic,Basic,0
53,13,2022-03-12,cancellation_processed,Basic,,-29
54,14,2022-01-01,trial_start,,Pro,0
55,14,2022-01-15,trial_conversion,Trial,Pro,99
56,14,2022-03-08,cancellation_request,Pro,Pro,0
57,14,2022-03-12,cancellation_processed,Pro,,-99
58,15,2022-01-01,trial_start,,Basic,0
59,15,2022-01-15,trial_conversion,Trial,Basic,29
60,15,2022-04-25,cancellation_request,Basic,Basic,0
61,15,2022-05-07,cancellation_processed,Basic,,-29
62,16,2022-01-01,trial_start,,Basic,0
63,16,2022-01-15,trial_conversion,Trial,Basic,29
64,16,2022-09-22,cancellation_request,Basic,Basic,0
65,16,2022-09-24,cancellation_processed,Basic,,-29
66,17,2022-01-01,trial_start,,Basic,0
67,17,2022-01-15,trial_conversion,Trial,Basic,29
68,17,2022-05-13,upgrade,Basic,Pro,70
69,17,2022-07-20,cancellation_request,Pro,Pro,0
70,17,2022-07-23,cancellation_processed,Pro,,-99
71,18,2022-01-01,trial_start,,Pro,0
72,18,2022-01-15,trial_conversion,Trial,Pro,99
73,18,2022-04-24,cancellation_request,Pro,Pro,0
74,18,2022-04-30,cancellation_processed,Pro,,-99
75,19,2022-01-01,trial_start,,Pro,0
76,19,2022-01-15,trial_conversion,Trial,Pro,99
77,19,2022-12-08,cancellation_request,Pro,Pro,0
78,19,2022-12-10,cancellation_processed,Pro,,-99
79,20,2022-01-01,trial_start,,Enterprise,0
80,20,2022-01-15,trial_conversion,Trial,Enterprise,299
81,20,2022-02-12,cancellation_request,Enterprise,Enterprise,0
82,20,2022-02-19,cancellation_processed,Enterprise,,-299
83,21,2022-01-01,trial_start,,Enterprise,0
