ticket_id,customer_id,creation_date,resolution_date,status,priority,issue_type,channel
1,1,2022-02-23,2022-03-02,Closed,Medium,Bug Report,Email
2,2,2022-07-18,,In Progress,Medium,Feature Request,Phone
3,2,2022-03-30,,Pending Customer Response,High,Feature Request,Email
4,2,2022-11-16,,In Progress,Low,Password Reset,Forum
5,3,2022-01-31,,Open,High,Billing Inquiry,Phone
6,5,2022-01-10,2022-01-16,Closed,High,How-to Question,Email
7,5,2022-01-11,2022-01-16,Resolved,Urgent,How-to Question,Phone
8,6,2023-11-13,2023-11-13,Resolved,Urgent,How-to Question,Email
9,7,2022-06-17,2022-06-23,Closed,High,Feature Request,Chat
10,8,2022-04-19,,Pending Customer Response,Medium,Feature Request,Phone
11,8,2022-05-09,,In Progress,High,How-to Question,Forum
12,10,2024-01-17,,In Progress,Low,Bug Report,Phone
13,10,2024-11-24,,Pending Customer Response,Urgent,Technical Glitch,Phone
14,11,2023-09-23,,Open,Medium,How-to Question,Email
15,12,2022-03-19,,Open,Low,How-to Question,Phone
16,12,2022-01-04,,Open,Urgent,Billing Inquiry,Email
17,14,2022-02-02,,In Progress,Medium,Bug Report,Chat
18,16,2022-06-16,2022-06-20,Closed,Medium,Billing Inquiry,Email
19,17,2022-01-25,,Pending Customer Response,Urgent,Bug Report,Phone
20,17,2022-01-17,2022-01-21,Closed,Low,Technical Glitch,Email
21,19,2022-08-30,,Open,Medium,Billing Inquiry,Chat
22,20,2022-01-04,2022-01-05,Closed,Low,Technical Glitch,Chat
23,22,2022-01-04,,Pending Customer Response,High,Technical Glitch,Forum
24,22,2022-04-17,,Open,Urgent,Technical Glitch,Forum
25,23,2022-05-08,,In Progress,Urgent,Technical Glitch,Phone
26,24,2022-12-16,,Open,High,Password Reset,Email
27,25,2022-01-26,2022-01-29,Resolved,Urgent,Bug Report,Forum
28,26,2022-05-03,2022-05-04,Closed,Urgent,How-to Question,Chat
29,26,2022-07-26,2022-07-29,Resolved,High,Billing Inquiry,Email
30,26,2022-07-29,2022-07-29,Closed,Low,Password Reset,Email
31,28,2022-01-13,,In Progress,High,Technical Glitch,Email
